KEY_lang,English,Vietnamese,Russian,Spanish,French,Japanese,Korean,Thai,Arabic,Chinese,Portuguese,German,Italian,Indonesian,Turkish,
"hint_level_18","Farthest from ""us"" text","Xa nhất so với chữ ""chúng ta"" trong câu hỏi","Самый дальний от ""нас"" текст","Más alejado del texto ""nosotros""","Le plus éloigné du texte ""nous""","「私たち」テキストから最も遠い","""우리""텍스트에서 가장 먼","ไกลที่สุดจากข้อความ ""เรา""","""ﻦﺤﻧ"" ﺺﻨﻟا ﻦﻋ نﻮﻜﻳ ﺎﻣ ﺪﻌﺑأ","離“我們”文字最遠","Distante do texto ""nos""","Am weitesten von ""uns"" Text","Più lontano dal testo ""noi""","Terjauh dari teks ""kami""","""Biz"" metninden en uzak",
"tips_level_18","are you kiding me!","Đùa nhau à!!!","ты меня разыскиваешь!","¡me estás tomando el pelo!","tu te moques de moi!","あなたは私を滑らせていますか？","장난 해?","คุณกำลังซ่อนฉัน!","!ﻲﻨﻠﺘﻘﺗ ﻞﻫ","你在騙我嗎","você está me escondendo!","Willst du mich verarschen?","mi stai prendendo in giro!","apakah kamu menuntunku!","benimle dalga mı geçiyorsun!",
"ques_level_19","How many car on the road","Có bao nhiêu chiếc xe ô tô trên đường","Сколько машины на дороге","¿Cuántos coches en la carretera?","Combien de voitures sur la route","道路に何台の車がありますか","도로에 얼마나 많은 차","มีการ์ดกี่ใบบนท้องถนน","ﻖﻳﺮﻄﻟا ﯽﻠﻋ ةرﺎﻴﺳ ﻢﻛ","路上有多少辆车","Quantos carros na estrada","Wie viele Autos auf der Straße","Quante auto sulla strada","Berapa banyak mobil di jalan","Yolda kaç araba",
"hint_level_19","0 car because there is no road","Không có chiếc nào vì làm gì có con đường nào","0 машина потому что дороги нет","0 coche porque no hay camino","0 voiture car il n'y a pas de route","道路がないため0台の車","도로가 없기 때문에 자동차 0 대","0 รถเพราะไม่มีถนน","ﻖﻳﺮﻃ ﺪﺟﻮﻳ ﻻ ﻪﻧﻷ ةرﺎﻴﺳ 0","因為沒有路，所以有0輛車","0 carro porque não há estrada","0 Auto, weil es keine Straße gibt","0 auto perché non c'è strada","0 mobil karena tidak ada jalan","0 araba çünkü yol yok",
"tips_level_19","because there is no road","Không có chiếc nào vì làm gì có con đường nào","потому что нет дороги","porque no hay camino","parce qu'il n'y a pas de route","道路がないため0台の車","도로가 없기 때문에","เพราะไม่มีถนน","ﻖﻳﺮﻃ ﺪﺟﻮﻳ ﻻ ﻪﻧﻷ","因為沒有路","porque não há estrada","weil es keine straße gibt","perché non c'è strada","karena tidak ada jalan","çünkü yol yok",
"ques_level_20","No Smoking","Cấm hút thuốc","Курение запрещено","No Fumar","Interdiction de fumer","喫煙禁止","금연","ห้ามสูบบุหรี่","ﻦﻴﺧﺪﺘﻟا عﻮﻨﻤﻣ","禁止抽烟","Proibido fumar","Rauchen verboten","Vietato fumare","Dilarang Merokok","Sigara İçmek Yasaktır",
"hint_level_20","Press the cigarette head to extinguish the cigarette","Ấn nhiều lần vào đầu thuốc để dập tắt điếu thuốc","Нажмите на конец сигареты, чтобы погасить сигарету","Presione el extremo del cigarrillo para apagar el cigarrillo.","Appuyez sur le bout de la cigarette pour éteindre la cigarette","タバコの端を押して、タバコを消します","담배 끝을 눌러 담배를 끄십시오","กดจุดสิ้นสุดของบุหรี่เพื่อดับบุหรี่","ةرﺎﺠﻴﺴﻟا ءﺎﻔﻃﻹ ةرﺎﺠﻴﺴﻟا ﺔﻳﺎﻬﻧ ﯽﻠﻋ ﻂﻐﺿا","按下烟头将烟熄灭","Pressione a cabeça do cigarro para apagar o cigarro","Drücken Sie auf den Zigarettenkopf, um die Zigarette zu löschen","Premere la testa della sigaretta per estinguere la sigaretta","Tekan kepala rokok untuk memadamkan rokok","Sigarayı söndürmek için sigara kafasına basın\n",
"tips_level_20","Tobacco is harmful to health!","Thuốc lá có hại cho sức khỏe","Табак вреден для здоровья!","¡El tabaco es dañino para la salud!","Le tabac est nocif pour la santé!","タバコは健康に有害です！","담배는 건강에 해 롭습니다!","ยาสูบเป็นอันตรายต่อสุขภาพ!","!ﺔﺤﺼﻟﺎﺑ رﺎﺿ ﻎﺒﺘﻟا","煙草有害健康！","O tabaco é prejudicial à saúde!","Tabak ist gesundheitsschädlich!","Il tabacco è dannoso per la salute!","Tembakau berbahaya bagi kesehatan!","Tütün sağlığa zararlıdır!",
"ques_level_21","Keep the balance balanced!","Hãy làm cho cân thăng bằng","Сохраняйте равновесие!","¡Mantén el equilibrio equilibrado!","Gardez l'équilibre en équilibre!","バランスをとってください！","균형을 유지하십시오!","รักษาสมดุลให้สมดุล!","!نزاﻮﺘﻣ نزاﻮﺘﻟا ﯽﻠﻋ ظﺎﻔﺤﻟا","保持平衡！","Mantenha o equilíbrio equilibrado!","Balance halten!","Mantieni l'equilibrio equilibrato!","Jaga keseimbangan seimbang!","Dengeyi dengeli tutun!",
"hint_level_21","If there is nothing,it will balance","Cân không có gì thì cân sẽ thăng bằng","Если нет ничего, он будет балансировать","Si no hay nada, equilibrará","S'il n'y a rien, ça va équilibrer","何もなければ、それはバランスをとります","아무것도 없다면 균형을 잡을 것입니다.","หากไม่มีอะไรมันจะสมดุล","نزاﻮﺗ فﻮﺳ ، ءﻲﺷ كﺎﻨﻫ ﻦﻜﻳ ﻢﻟ اذإ","如果什麼都沒有，它將平衡","Se não houver nada, ele se equilibrará","Wenn es nichts gibt, gleicht es aus","Se non c'è nulla, si bilancerà","Jika tidak ada, itu akan seimbang","Hiçbir şey olmazsa, dengeyi koruyacaktır",
"tips_level_21","Are you genius?","Bạn có phải thiên tài không?","Вы гений?","¿Eres genio?","Es-tu génie?","あなたは天才ですか？","당신은 천재입니까?","คุณเป็นอัจฉริยะหรือไม่","؟يﺮﻘﺒﻋ ﺖﻧأ ﻞﻫ","你是天才嗎？","Você é um gênio?","Bist du ein Genie?","Sei un genio?","Apakah kamu jenius?","Sen dahi misin?",
"ques_level_22","Please put chicken on every plate","Đặt gà quay vào cả 2 chiếc đĩa","Пожалуйста, положите курицу на каждую тарелку","Por favor ponga pollo en cada plato","S'il vous plaît mettre du poulet sur chaque assiette","すべての皿に鶏肉を入れてください","모든 접시에 닭고기를 넣어주세요","กรุณาใส่ไก่ทุกจาน","ﺔﺣﻮﻟ ﻞﻛ ﯽﻠﻋ جﺎﺟﺪﻟا ﻊﺿو ﯽﺟﺮﻳ","請把雞肉放在每盤上","Por favor, coloque frango em cada prato","Bitte legen Sie Hühnchen auf jeden Teller","Si prega di mettere il pollo su ogni piatto","Silakan taruh ayam di setiap piring","Lütfen her tabağa tavuk koyunuz.",
"hint_level_22","The word 'Chicken' in the question is also chicken","Bao gồm cả Text Chicken","Слово «курица» в вопросе также курица","La palabra 'pollo' en la pregunta también es pollo","Le mot 'poulet' dans la question est aussi poulet","質問の「チキン」という言葉もチキンです","문제에서 '치킨'이라는 단어도 닭고기입니다.","คำว่า 'ไก่' ในคำถามก็เป็นไก่ด้วย","جﺎﺟﺪﻟا ﺎﻀﻳأ ﻲﻫ لاﺆﺴﻟا ﻲﻓ ""جﺎﺟد"" ﺔﻤﻠﻛ","問題中的“雞”一詞也是雞","A palavra 'Frango' na pergunta também é frango","Das Wort ""Huhn"" in der Frage ist auch Huhn","La parola ""pollo"" nella domanda è anche pollo","Kata 'Ayam' dalam pertanyaan itu juga ayam","Söz konusu 'Tavuk' kelimesi aynı zamanda tavuk",
"tips_level_22","Unbelievable!","Thật không thể tin nổi!","Невероятно!","¡Increíble!","Incroyable!","信じられない！","믿을 수 없는!","เหลือเชื่อ!","!قﺪﺼﻳ ﻻ","難以置信的！","Inacreditável!","Nicht zu fassen!","Incredibile!","Luar biasa!","Inanılmaz!",
"ques_level_23","Find out the circle","Tìm 1 hình tròn","Узнай круг","Descubre el círculo","Découvrez le cercle","サークルを見つける","원을 찾아","ค้นหาวงกลม","ةﺮﺋاﺪﻟا ﺔﻓﺮﻌﻣ","找出圈子","Descubra o círculo","Finde den Kreis heraus","Scopri il cerchio","Cari tahu lingkarannya","Çevreyi bulmak",
"hint_level_23","Do you see a black dot in the question","Bạn có nhìn thấy dấu chấm đen ở cuối câu hỏi!!","Вы видите черную точку в вопросе","¿Ves un punto negro en la pregunta?","Voyez-vous un point noir dans la question","質問に黒い点がありますか","질문에 검은 점이 보입니까","คุณเห็นจุดสีดำในคำถามหรือไม่","لاﺆﺴﻟا ﻲﻓ ءادﻮﺳ ﺔﻄﻘﻧ ىﺮﺗ ﻞﻫ","您在問題中看到黑點了嗎","Você vê um ponto preto na pergunta","Sehen Sie einen schwarzen Punkt in der Frage?","Vedi un punto nero nella domanda","Apakah Anda melihat titik hitam dalam pertanyaan","Soruda siyah bir nokta görüyor musunuz?",
"tips_level_23","Nothing escapes your eyes!","Không gì có thể qua mắt được bạn!","Ничто не ускользает от ваших глаз!","¡Nada escapa a tus ojos!","Rien n'échappe à tes yeux!","何もあなたの目から逃げません！","당신의 눈을 피할 수있는 것은 없습니다!","ไม่มีอะไรหนีสายตาของคุณ!","!ﻚﻴﻨﻴﻋ بﺮﻬﻳ ءﻲﺷ ﻻ","沒有什麼能逃脫你的眼睛！","Nada escapa dos seus olhos!","Nichts entgeht Ihren Augen!","Nulla ti sfugge agli occhi!","Tidak ada yang lolos dari matamu!","Hiçbir şey gözlerinden kaçamaz!",
"ques_level_24","What are your choice?","Sự lựa chọn của bạn là gì?","Какой у тебя выбор?","¿Cuál es tu elección?","Quels sont tes choix?","あなたの選択は何ですか？","당신의 선택은 무엇입니까?","คุณมีทางเลือกอะไร","؟كرﺎﻴﺘﺧا ﻲﻫ ﺎﻣ","您有什么选择？","Qual sua escolha?","Was ist deine Wahl?","Quali sono le tue scelte?","Apa pilihanmu","Seçiminiz nedir?",
"hint_level_24","Let select both!","Hãy chọn cả hai!","Пусть выбирают оба!","¡Dejen seleccionar ambos!","Laissez sélectionner les deux!","両方を選択してみましょう！","둘 다 선택하자!","ให้เลือกทั้งสองอย่าง!","!ﺎﻤﻬﻴﻠﻛ رﺎﻴﺘﺧا اﻮﺤﻤﺳا","让我们选择两者！","Vamos selecionar os dois!","Lass beides auswählen!","Lascia selezionare entrambi!","Biarkan pilih keduanya!","Her ikisini de seçelim!",
"tips_level_24","Great! You are a wonderful man","Tuyệt! Bạn là người đàn ông tuyệt vời","Большой! Вы замечательный человек","¡Excelente! Eres un hombre maravilloso","Génial! Tu es un homme merveilleux","すばらしいです！あなたは素晴らしい人です","큰! 당신은 훌륭한 사람입니다","ที่ดี! คุณเป็นคนที่ยอดเยี่ยม","ﻊﺋار ﻞﺟر ﺖﻧأ !ﻢﻴﻈﻋ","大！你是个好人","Ótimo! Você é um homem maravilhoso","Groß! Du bist ein wunderbarer Mann","Grande! Sei un uomo meraviglioso","Besar! Anda pria yang luar biasa","Harika! Sen harika bir adamsın",
"ques_level_25","If 5 = 20, 7 = 28, 8 = 32, 9 = 36. So 20 = ?","Nếu 5 = 20, 7 = 28, 8 = 32, 9 = 36 thì 20 = ?","Если 5 = 20, 7 = 28, 8 = 32, 9 = 36. Итак, 20 =?","Si 5 = 20, 7 = 28, 8 = 32, 9 = 36. Entonces 20 =?","Si 5 = 20, 7 = 28, 8 = 32, 9 = 36. Donc 20 =?","5 = 20、7 = 28、8 = 32、9 = 36の場合、20 =？","5 = 20, 7 = 28, 8 = 32, 9 = 36이면 20 =?","ถ้า 5 = 20, 7 = 28, 8 = 32, 9 = 36 ดังนั้น 20 =?","=؟ 20 نذإ 36. = 9 ، 32 = 8 ، 28 = 7 ، 20 = 5 ﺖﻧﺎﻛ اذإ","如果5 = 20，7 = 28，8 = 32，9 =36。那麼20 =？","Se 5 = 20, 7 = 28, 8 = 32, 9 = 36. Então 20 =?","Wenn 5 = 20, 7 = 28, 8 = 32, 9 = 36. Also 20 =?","Se 5 = 20, 7 = 28, 8 = 32, 9 = 36. Quindi 20 =?","Jika 5 = 20, 7 = 28, 8 = 32, 9 = 36. Jadi 20 =?","Eğer 5 = 20, 7 = 28, 8 = 32, 9 = 36 ise, 20 =?",
"hint_level_25","20 = 5. Why? Because 5 = 20","5 = 20 thì 20 = 5","20 = 5. Почему? Потому что 5 = 20","20 = 5. ¿Por qué? Porque 5 = 20","20 = 5. Pourquoi? Parce que 5 = 20","20 = 5.なぜですか？ 5 = 20だから","20 = 5. 왜? 5 = 20이기 때문에","20 = 5. ทำไม เนื่องจาก 5 = 20","20 = 5 نﻷ ؟اذﺎﻤﻟ 5. = 20","20 =5。為什麼？因為5 = 20","20 = 5. Por que? Porque 5 = 20","20 = 5. Warum? Weil 5 = 20","20 = 5. Perché? Perché 5 = 20","20 = 5. Mengapa? Karena 5 = 20","20 = 5. Neden? Çünkü 5 = 20",
"tips_level_25","20 = 5. Why? Because 5 = 20","5 = 20 thì 20 = 5","20 = 5. Почему? Потому что 5 = 20","20 = 5. ¿Por qué? Porque 5 = 20","20 = 5. Pourquoi? Parce que 5 = 20","20 = 5.なぜですか？ 5 = 20だから","20 = 5. 왜? 5 = 20이기 때문에","20 = 5. ทำไม เนื่องจาก 5 = 20","20 = 5 نﻷ ؟اذﺎﻤﻟ 5. = 20","20 =5。為什麼？因為5 = 20","20 = 5. Por que? Porque 5 = 20","20 = 5. Warum? Weil 5 = 20","20 = 5. Perché? Perché 5 = 20","20 = 5. Mengapa? Karena 5 = 20","20 = 5. Neden? Çünkü 5 = 20",
"ques_level_26","Make the equation true","Làm sao để được phép tính đúng?","Сделайте уравнение истинным","Haz la ecuación verdadera","Rendre l'équation vraie","方程式を真にする","방정식을 사실로 만드십시오","ทำให้สมการเป็นจริง","ﺔﺤﻴﺤﺻ ﺔﻟدﺎﻌﻤﻟا ﻞﻌﺟا","使方程式成立","Faça a equação verdadeira","Machen Sie die Gleichung wahr","Rendi vera l'equazione","Jadikan persamaan itu benar","Denklemi gerçek kılın",
"hint_level_26","Try to drag the equation a litter bit off screen. You have +2 = 2","Kéo phép tính ra góc màn hình. Để được  +2 = 2","Попробуйте перетащить уравнение немного мусора с экрана. У вас +2 = 2","Intenta arrastrar la ecuación un poco fuera de la pantalla. Tienes +2 = 2","Essayez de faire glisser l'équation un peu plus loin de l'écran. Vous avez +2 = 2","方程式を画面から少しずらしてドラッグしてみてください。あなたは+2 = 2を持っています","방정식을 화면에서 조금 떨어 뜨려보십시오. 당신은 +2 = 2","ลองลากสมการเศษซากหน้าจอออก คุณมี +2 = 2","2 = +2 ﻚﻳﺪﻟ .ﺔﺷﺎﺸﻟا ﺔﻣﺎﻤﻘﻟا ﺔﻟﺎﺒﻗ ﻼﻴﻠﻗ ﺔﻟدﺎﻌﻤﻟا ﺐﺤﺴﻟ ﺔﻟوﺎﺤﻣ","嘗試將等式拖出屏幕。你有+2 = 2","Tente arrastar a equação um pouco para fora da tela. Você tem +2 = 2","Versuchen Sie, die Gleichung ein Stück vom Bildschirm zu ziehen. Sie haben +2 = 2","Prova a trascinare l'equazione un po 'di rifiuti fuori dallo schermo. Hai +2 = 2","Cobalah untuk menyeret persamaan sedikit dari layar. Anda memiliki +2 = 2","Denklemi bir çöp biti ekrandan sürüklemeye çalışın. +2 = 2’niz var",
"tips_level_26","Great! So cool!","Ngầu đấy!","Большой! Так круто!","¡Excelente! ¡Muy guay!","Génial! Trop cool!","すばらしいです！とてもクール！","큰! 너무 멋져요!","ที่ดี! เจ๋ง!","!اﺪﺟ ﻒﻴﻄﻟ !ﻢﻴﻈﻋ","大！非常酷！","Ótimo! Tão legal!","Toll! So cool!","Grande! Così bello!","Bagus! Keren abis!","Harika! Çok havalı!",
"ques_level_27","What time is it now?","Bây giờ là mấy giờ vậy?","Который сейчас час?","¿Qué hora es en este momento?","Quelle heure est-il maintenant?","今何時ですか？","지금 몇 시야?","ตอนนี้กี่โมงแล้ว?","؟نﻻا ﺖﻗﻮﻟا ﻢﻛ","現在幾點了？","Que horas são?","Wie viel Uhr ist es jetzt?","Che ore sono adesso?","Pukul berapa sekarang?","Şu an saat kaç?",
